N,result,diversion
100,1.08,0.125447
600,0.946667,0.00227058
1100,0.887273,0.0645173
1600,0.895,0.0553265
2100,0.912381,0.0352224
2600,0.895385,0.0548731
3100,0.874839,0.0796472
3600,0.892222,0.058612
4100,0.902439,0.0466272
4600,0.902609,0.0464304
5100,0.905098,0.0435524
5600,0.917143,0.0298474
6100,0.91082,0.0369969
6600,0.914545,0.0327723
7100,0.926761,0.0191599
7600,0.920526,0.0260621
8100,0.914074,0.0333049
8600,0.922326,0.0240605
9100,0.929231,0.0164506
9600,0.93625,0.00883011
10100,0.931881,0.0135597
10600,0.931321,0.0141696
11100,0.938018,0.00692862
11600,0.936207,0.00887655
12100,0.936529,0.00852965
12600,0.939048,0.00582459
13100,0.939237,0.00562217
13600,0.938235,0.00669543
14100,0.93617,0.00891608
14600,0.939452,0.00539158
15100,0.938808,0.00608137
15600,0.935641,0.00948672
16100,0.932671,0.0127016
16600,0.932771,0.0125927
17100,0.931696,0.0137612
17600,0.931591,0.0138755
18100,0.930829,0.0147057
18600,0.926667,0.0192632
19100,0.928586,0.017156
19600,0.928776,0.0169488
20100,0.928557,0.0171879
20600,0.928738,0.0169901
21100,0.930616,0.0149375
21600,0.929444,0.0162169
22100,0.929955,0.0156593
22600,0.929558,0.0160933
23100,0.931082,0.0144294
23600,0.930508,0.0150549
24100,0.93278,0.0125829
24600,0.933008,0.0123354
25100,0.932271,0.013136
25600,0.934219,0.0110236
26100,0.932261,0.0131472
26600,0.935338,0.00981339
27100,0.936236,0.00884502
27600,0.936087,0.00900582
28100,0.935231,0.00992895
28600,0.936643,0.00840643
29100,0.936907,0.00812244
29600,0.938108,0.00683192
30100,0.938206,0.00672689
30600,0.937647,0.00732699
31100,0.938264,0.00666499
31600,0.937722,0.007247
32100,0.936698,0.0083478
32600,0.934356,0.0108753
33100,0.932931,0.0124197
33600,0.93381,0.0114666
34100,0.935132,0.0100363
34600,0.934798,0.0103974
35100,0.934131,0.0111185
35600,0.93427,0.0109685
36100,0.934626,0.010583
36600,0.936284,0.00879331
37100,0.936388,0.00868128
37600,0.936064,0.00903075
38100,0.936378,0.00869225
38600,0.936788,0.0082512
39100,0.936471,0.00859247
39600,0.936061,0.00903422
40100,0.93586,0.00925014
40600,0.937143,0.00786895
41100,0.938978,0.00589906
41600,0.938173,0.00676219
42100,0.938337,0.006586
42600,0.938498,0.00641401
43100,0.939118,0.00574886
43600,0.938165,0.00677071
44100,0.938866,0.00601893
44600,0.93704,0.00797919
45100,0.937384,0.00761011
45600,0.937544,0.00743787
46100,0.93744,0.00754911
46600,0.937682,0.00728902
47100,0.938089,0.00685224
47600,0.938992,0.0058846
48100,0.939459,0.00538366
48600,0.938848,0.00603873
49100,0.938982,0.00589523
49600,0.939355,0.00549563
50100,0.939561,0.00527513
50600,0.938814,0.00607464
51100,0.939648,0.00518219
51600,0.939922,0.00488839
52100,0.940576,0.00419038
52600,0.940989,0.00374988
53100,0.941318,0.00339834
53600,0.94209,0.00257686
54100,0.942255,0.00240073
54600,0.942418,0.00222789
55100,0.94127,0.00344935
55600,0.941295,0.00342318
56100,0.941818,0.00286574
56600,0.942191,0.00246911
57100,0.942907,0.00170749
57600,0.942222,0.00243569
58100,0.942719,0.00190697
58600,0.941365,0.00334833
59100,0.940846,0.00390198
59600,0.941208,0.00351583
60100,0.942163,0.00249864
60600,0.941914,0.00276352
61100,0.940949,0.00379183
61600,0.940909,0.00383469
62100,0.940419,0.00435817
62600,0.938786,0.00610495
63100,0.939334,0.00551752
63600,0.93956,0.00527634
64100,0.93897,0.00590735
64600,0.939443,0.00540157
65100,0.938495,0.00641726
65600,0.939451,0.00539247
66100,0.940696,0.00406217
66600,0.940661,0.0040998
67100,0.941759,0.00292922
67600,0.942308,0.00234477
68100,0.942438,0.00220661
68600,0.943382,0.0012034
69100,0.943155,0.00144445
69600,0.942184,0.00247646
70100,0.940656,0.00410456
70600,0.940963,0.00377699
71100,0.941378,0.00333431
71600,0.941732,0.00295768
72100,0.94208,0.00258655
72600,0.941928,0.00274842
73100,0.941943,0.00273333
73600,0.942391,0.00225584
74100,0.94224,0.00241655
74600,0.942681,0.00194787
75100,0.943009,0.00159899
75600,0.941799,0.00288623
76100,0.941708,0.00298278
76600,0.943081,0.00152293
77100,0.943087,0.0015166
77600,0.943247,0.00134616
78100,0.943201,0.00139542
78600,0.943511,0.00106595
79100,0.943515,0.00106267
79600,0.943065,0.00153951
80100,0.94377,0.000791399
80600,0.944417,0.000106216
81100,0.944513,4.48794E-06
81600,0.945098,0.000614596
82100,0.945091,0.000607524
82600,0.944697,0.000190697
83100,0.945126,0.000644536
83600,0.945885,0.00144624
84100,0.946302,0.00188612
84600,0.94591,0.00147263
85100,0.94557,0.00111333
85600,0.945935,0.00149841
86100,0.94676,0.0023685
86600,0.946051,0.00162108
87100,0.946406,0.00199623
87600,0.946256,0.00183726
88100,0.94597,0.00153631
88600,0.946321,0.00190565
89100,0.946352,0.00193926
89600,0.945759,0.00131296
90100,0.945216,0.000739767
90600,0.945033,0.000545935
91100,0.944984,0.000493499
91600,0.944847,0.000349237
92100,0.944235,0.000299352
92600,0.94432,0.000209179
93100,0.944919,0.000425704
93600,0.943974,0.000575044
94100,0.944102,0.000439748
94600,0.944228,0.000305918
95100,0.944522,4.62706E-06
95600,0.94431,0.000219803
96100,0.944641,0.000131069
96600,0.944638,0.000127557
97100,0.944099,0.000443088
97600,0.945,0.000510914
98100,0.945321,0.000850415
98600,0.944868,0.000371447
99100,0.945348,0.000878985
99600,0.94498,0.000489676
