Result of N;Square
100;1,08
600;0,96
1100;1,01455
1600;1,0575
2100;1,02857
2600;0,996923
3100;0,99871
3600;0,97
4100;1,02732
4600;1,00174
5100;0,995294
5600;0,951429
6100;0,926557
6600;0,927273
7100;0,938028
7600;0,937895
8100;0,942222
8600;0,958605
9100;0,965275
9600;0,95625
10100;0,948119
10600;0,933962
11100;0,924324
11600;0,921724
12100;0,910413
12600;0,914286
13100;0,928855
13600;0,918529
14100;0,914043
14600;0,912329
15100;0,915497
15600;0,911538
16100;0,910062
16600;0,906506
17100;0,894737
17600;0,885682
18100;0,893039
18600;0,894194
19100;0,887749
19600;0,887143
20100;0,888358
20600;0,889515
21100;0,894028
21600;0,886667
22100;0,894299
22600;0,896814
23100;0,888312
23600;0,890847
24100;0,885809
24600;0,883902
25100;0,893546
25600;0,894375
26100;0,897931
26600;0,906767
27100;0,909963
27600;0,902609
28100;0,904484
28600;0,91007
29100;0,909278
29600;0,908514
30100;0,901794
30600;0,902353
31100;0,900579
31600;0,905696
32100;0,903925
32600;0,90773
33100;0,914683
33600;0,916071
34100;0,920587
34600;0,920809
35100;0,930256
35600;0,929326
36100;0,934404
36600;0,936393
37100;0,94124
37600;0,944043
38100;0,942047
38600;0,945699
39100;0,948338
39600;0,95
40100;0,954314
40600;0,958522
41100;0,956496
41600;0,962308
42100;0,966271
42600;0,966761
43100;0,968074
43600;0,971009
44100;0,969796
44600;0,962152
45100;0,965854
45600;0,965526
46100;0,964425
46600;0,961803
47100;0,96
47600;0,962017
48100;0,959501
48600;0,958519
49100;0,95609
49600;0,954435
50100;0,957126
50600;0,952648
51100;0,950372
51600;0,954419
52100;0,952169
52600;0,949962
53100;0,952542
53600;0,951716
54100;0,952237
54600;0,953407
55100;0,951289
55600;0,954388
56100;0,951016
56600;0,948975
57100;0,947601
57600;0,946875
58100;0,944303
58600;0,943618
59100;0,948426
59600;0,948926
60100;0,948819
60600;0,948713
61100;0,951555
61600;0,952597
62100;0,949565
62600;0,950607
63100;0,952203
63600;0,949811
64100;0,949704
64600;0,950712
65100;0,950599
65600;0,948293
66100;0,955825
66600;0,956757
67100;0,955529
67600;0,95432
68100;0,956828
68600;0,955102
69100;0,953401
69600;0,952241
70100;0,95418
70600;0,955581
71100;0,957468
71600;0,957318
72100;0,95767
72600;0,959504
73100;0,961313
73600;0,960652
74100;0,960972
74600;0,961769
75100;0,959201
75600;0,957143
76100;0,956058
76600;0,954517
77100;0,950661
77600;0,951959
78100;0,950935
78600;0,949924
79100;0,946195
79600;0,945678
80100;0,94382
80600;0,943772
81100;0,942836
81600;0,941912
82100;0,942753
82600;0,943148
83100;0,940072
83600;0,94177
84100;0,94088
84600;0,941277
85100;0,939976
85600;0,941215
86100;0,942021
86600;0,94157
87100;0,941125
87600;0,937808
88100;0,938207
88600;0,939413
89100;0,938182
89600;0,939375
90100;0,938158
90600;0,937748
91100;0,937739
91600;0,937729
92100;0,938111
92600;0,937322
93100;0,938475
93600;0,938462
94100;0,938066
94600;0,939197
95100;0,938801
95600;0,939916
96100;0,940271
96600;0,940248
97100;0,939114
97600;0,939467
98100;0,939083
98600;0,938337
99100;0,940868
99600;0,939759
